format,filename,bitrate,major_brand,minor_version,compatible_brands,encoder
format,videos/TearsOfSteel120-crfVbv-17_3000K.mp4,3049363,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-17_7500K.mp4,5897633,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-17_750K.mp4,707538,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-23_1500K.mp4,1417407,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-23_3000K.mp4,1845222,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-23_7500K.mp4,1854406,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-23_750K.mp4,702762,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-29_1500K.mp4,875876,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-29_3000K.mp4,879231,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-29_7500K.mp4,879231,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-29_750K.mp4,677663,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-35_1500K.mp4,474923,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-35_3000K.mp4,474923,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-35_7500K.mp4,474923,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-crfVbv-35_750K.mp4,472748,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-qp-17.mp4,6742162,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-qp-23.mp4,2124380,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-qp-29.mp4,1026472,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel120-qp-35.mp4,554404,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2pass-1500K.mp4,1538570,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2pass-3000K.mp4,3056819,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2pass-7500K.mp4,7502827,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2pass-750K.mp4,777998,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2passVbv-1500K.mp4,1446942,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2passVbv-3000K.mp4,2880775,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2passVbv-7500K.mp4,7404726,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-2passVbv-750K.mp4,721689,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abr-1500K.mp4,1657838,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abr-3000K.mp4,3215774,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abr-7500K.mp4,7589759,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abr-750K.mp4,835027,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abrVbv-1500K.mp4,1412573,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abrVbv-3000K.mp4,2887413,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abrVbv-7500K.mp4,7407468,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-abrVbv-750K.mp4,709270,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crf-17.mp4,11270898,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crf-23.mp4,3470696,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crf-29.mp4,1581554,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crf-35.mp4,805873,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-17_1500K.mp4,1502183,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-17_3000K.mp4,3042277,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-17_7500K.mp4,7631882,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-17_750K.mp4,754804,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-23_1500K.mp4,1503078,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-23_3000K.mp4,2840741,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-23_7500K.mp4,3470714,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-23_750K.mp4,755452,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-29_1500K.mp4,1341294,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-29_3000K.mp4,1581638,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-29_7500K.mp4,1581638,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-29_750K.mp4,754217,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-35_1500K.mp4,805891,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-35_3000K.mp4,805891,isom,512,isomiso2avc1mp41,Lavf57.66.103
format,videos/TearsOfSteel240-crfVbv-35_7500K.mp4,805891,isom,512,isomiso2avc1mp41,Lavf57.66.103
